編號,樣本ID,完整檔名,檔案大小(MB)
1249,SRR12181018,SRR12181018_2.fastq,16945.79
1250,SRR12181019,SRR12181019_1.fastq,12407.21
1251,SRR12181019,SRR12181019_2.fastq,12407.21
1252,SRR12181020,SRR12181020_1.fastq,6087.88
1253,SRR12181020,SRR12181020_2.fastq,12218.15
1254,SRR12181021,SRR12181021_1.fastq,10321.35
1255,SRR12181021,SRR12181021_2.fastq,10321.35
1256,SRR12181022,SRR12181022_1.fastq,13694.68
1257,SRR12181022,SRR12181022_2.fastq,13694.68
1258,SRR12181023,SRR12181023_1.fastq,10763.56
1259,SRR12181023,SRR12181023_2.fastq,10763.56
1260,SRR12181024,SRR12181024_1.fastq,12356.14
1261,SRR12181024,SRR12181024_2.fastq,12356.14
1262,SRR12181025,SRR12181025_1.fastq,21497.49
1263,SRR12181025,SRR12181025_2.fastq,21497.49
1264,SRR12181026,SRR12181026_1.fastq,12223.46
1265,SRR12181026,SRR12181026_2.fastq,18356.38
1266,SRR12181027,SRR12181027_1.fastq,12198.38
1267,SRR12181027,SRR12181027_2.fastq,12198.38
1268,SRR12181028,SRR12181028_1.fastq,13004.49
1269,SRR12181028,SRR12181028_2.fastq,13004.49
1270,SRR12181029,SRR12181029_1.fastq,11090.88
1271,SRR12181029,SRR12181029_2.fastq,11090.88
1272,SRR12181030,SRR12181030_1.fastq,8182.57
1273,SRR12181030,SRR12181030_2.fastq,8182.57
1274,SRR12181031,SRR12181031_1.fastq,15280.44
1275,SRR12181031,SRR12181031_2.fastq,15280.44
1276,SRR12181032,SRR12181032_1.fastq,10297.23
1277,SRR12181032,SRR12181032_2.fastq,10297.23
1278,SRR12181033,SRR12181033_1.fastq,14604.05
1279,SRR12181033,SRR12181033_2.fastq,14604.05
1280,SRR12181034,SRR12181034_1.fastq,12030.1
1281,SRR12181034,SRR12181034_2.fastq,12030.1
1282,SRR12181035,SRR12181035_1.fastq,14451.44
1283,SRR12181035,SRR12181035_2.fastq,14451.44
1284,SRR12181036,SRR12181036_1.fastq,11478.35
1285,SRR12181036,SRR12181036_2.fastq,11478.35
1286,SRR12181037,SRR12181037_1.fastq,12774.84
1287,SRR12181037,SRR12181037_2.fastq,12774.84
1288,SRR12181038,SRR12181038_1.fastq,12024.92
1289,SRR12181038,SRR12181038_2.fastq,12024.92
1290,SRR12181039,SRR12181039_1.fastq,14920.89
1291,SRR12181039,SRR12181039_2.fastq,14920.89
1292,SRR12181040,SRR12181040_1.fastq,13701.89
1293,SRR12181040,SRR12181040_2.fastq,13701.89
1294,SRR12181041,SRR12181041_1.fastq,14017.6
1295,SRR12181041,SRR12181041_2.fastq,14017.6
1296,SRR12181042,SRR12181042_1.fastq,13546.63
1297,SRR12181042,SRR12181042_2.fastq,13546.63
1298,SRR12181043,SRR12181043_1.fastq,10821.76
1299,SRR12181043,SRR12181043_2.fastq,10821.76
1300,SRR12181044,SRR12181044_1.fastq,9373.06
1301,SRR12181044,SRR12181044_2.fastq,9373.06
1302,SRR12181045,SRR12181045_1.fastq,14922.87
1303,SRR12181045,SRR12181045_2.fastq,14922.87
1304,SRR12181046,SRR12181046_1.fastq,12652.61
1305,SRR12181046,SRR12181046_2.fastq,12652.61
1306,SRR12181047,SRR12181047_1.fastq,12333.33
1307,SRR12181047,SRR12181047_2.fastq,12333.33
1308,SRR12181048,SRR12181048_1.fastq,11030.45
1309,SRR12181048,SRR12181048_2.fastq,11030.45
1310,SRR12181049,SRR12181049_1.fastq,18415.44
1311,SRR12181049,SRR12181049_2.fastq,18415.44
1312,SRR12181050,SRR12181050_1.fastq,15177.34
1313,SRR12181050,SRR12181050_2.fastq,15177.34
1314,SRR12181051,SRR12181051_1.fastq,14076.37
1315,SRR12181051,SRR12181051_2.fastq,14076.37
1316,SRR12181052,SRR12181052_1.fastq,15651.77
1317,SRR12181052,SRR12181052_2.fastq,15651.77
1318,SRR12181053,SRR12181053_1.fastq,18297.36
1319,SRR12181053,SRR12181053_2.fastq,18297.36
1320,SRR12181054,SRR12181054_1.fastq,17192.85
1321,SRR12181054,SRR12181054_2.fastq,17192.85
1322,SRR12181055,SRR12181055_1.fastq,14310.46
1323,SRR12181055,SRR12181055_2.fastq,14310.46
1324,SRR12181056,SRR12181056_1.fastq,18867.21
1325,SRR12181056,SRR12181056_2.fastq,18867.21
1326,SRR12181057,SRR12181057_1.fastq,11270.49
1327,SRR12181057,SRR12181057_2.fastq,11270.49
1328,SRR12181058,SRR12181058_1.fastq,11571.29
1329,SRR12181058,SRR12181058_2.fastq,11571.29
1330,SRR12181059,SRR12181059_1.fastq,16344.28
1331,SRR12181059,SRR12181059_2.fastq,16344.28
1332,SRR13256637,SRR13256637_1.fastq,188.87
1333,SRR13256637,SRR13256637_2.fastq,240.04
1334,SRR13256638,SRR13256638_1.fastq,186.74
1335,SRR13256638,SRR13256638_2.fastq,255.13
1336,SRR13256639,SRR13256639_1.fastq,271.78
